KEY,NOTES,ENGLISH,FRENCH,SPANISH,GERMAN,ITALIAN,PORTUGUESE BR,PORTUGUESE,RUSSIAN,POLISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH
SEED.ELFSBANE_SPAWN.TOOLTIP,{{VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP}},"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.",,,,,,,,,,,,,
SEED.SUNGLOW_SPAWN,,Sunglow,,,,,,,,,,,,,
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,,,,,,,,,,,,,
SEED.GLOW_SPAWN,,Glow,,,,,,,,,,,,,
SEED.GLOW_SPAWN.TOOLTIP,{{VEGETABLE.GLOW_MUSHROOM.TOOLTIP}},A magic-infused mushroom that gives off light and changes colour with the seasons.,,,,,,,,,,,,,
SEED.SYRUP_POWDER_SPAWN,,Syrup powder,,,,,,,,,,,,,
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHRUB.DESCRIPTION,Shrub or bush should do,Bush,Arbuste,Arbusto,Büsche,Cespuglio,Arbusto,Arbusto,Куст,Krzak,Struikgewas,Buske,Busk,Bokor,Pensas
,,,,,,,,,,,,,,,
STOCKPILE.GROUP.RAW_MATERIALS,,Raw materials,,,,,,,,,,,,,
STOCKPILE.GROUP.PRODUCTS,,Products,,,,,,,,,,,,,
STOCKPILE.GROUP.TOOLS,,Tools,Outils,Herramientas,Werkzeuglager,Attrezzi,Ferramentas,Ferramentas,Инструменты,Narzędzia,,,,,
STOCKPILE.GROUP.TOOLS.TOOLTIP,,Stores tools required for working on jobs.,,,,,,,,,,,,,
STOCKPILE.GROUP.FUEL,,Fuel,,,,,,,,,,,,,
STOCKPILE.GROUP.SEEDS,,Seeds,,,,,,,,,,,,,
STOCKPILE.GROUP.GRANARY,,Granary,Grange,Granero,Getreidespeicher,Granaio,Celeiro,Celeiro,Амбар,Spichlerz,,,,,
STOCKPILE.GROUP.GRANARY.TOOLTIP,,Stores grains and seeds which will not expire.,,,,,,,,,,,,,
STOCKPILE.GROUP.FOOD,,Food,,,,,,,,,,,,,
STOCKPILE.GROUP.FOOD.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STONE.BASALT.ADJECTIVE,,Basalt,en basalte,De basalto,Basalt,di basalto,de basalto,De basalto,(базальт),Bazaltowy,Basalten,Basalt-,Basalt,Bazalt,Basalttinen
STONE.BASALT.NOUN,,Basalt,Basalte,Basalto,Basalt,Basalto,de basalto,Basalto,Базальт,Bazalt,Basalt,Basalt,Basalt,Bazalt,Basaltti
STONE.BASALT.TOOLTIP,,An igneous rock formed by the rapid cooling of lava. Almost all of the volcanic rock in the world is basalt.,,,,,,,,,,,,,
STONE.DOLOSTONE.ADJECTIVE,,Dolostone,en dolomie,De dolomía,Dolomit,di roccia dolomitica,de dolomita,De dolomito,(доломитид),Dolomitowy,Dolomieten,Dolomit-,Dolomitt,Dolomit,Dolomiittikivinen
STONE.DOLOSTONE.NOUN,,Dolostone,Dolimie,Dolomía,Dolomit,Roccia dolomitica,de dolomita,Dolomito,Доломитид,Dolomit,Dolomiet,Dolomit,Dolomitt,Dolomit,Dolomiittikivi
STONE.DOLOSTONE.TOOLTIP,,"A sedimentary rock mostly made up of the mineral dolomite, so it is also known as dolomite rock.",,,,,,,,,,,,,
STONE.GRANITE.ADJECTIVE,,Granite,en granite,De granito,Granit,di granito,de granito,De granito,(гранит),Granitowy,Granieten,Granit-,Granitt,Gránit,Graniittinen
STONE.GRANITE.NOUN,,Granite,Granite,Granito,Granit,Granito,de granito,Granito,Гранит,Granit,Graniet,Granit,Granitt,Gránit,Graniitti
STONE.GRANITE.TOOLTIP,,"A common type of igneous rock. It has a large proportion of quartz, making it good for locating certain gemstones.",,,,,,,,,,,,,
STONE.LIMESTONE.ADJECTIVE,,Limestone,en calcaire,De caliza,Kalkstein,di pietra calcarea,de calcário,De calcário,(известняк),Wapienny,Kalkstenen,Kalkstens-,Kalkstein,Mészkő,Kalkkikivinen
STONE.LIMESTONE.NOUN,,Limestone,Calcaire,Caliza,Kalkstein,Pietra calcarea,de calcário,Calcário,Известняк,Wapień,Kalksteen,Kalksten,Kalkstein,Mészkő,Kalkkikivi
STONE.LIMESTONE.TOOLTIP,,A lightly-coloured sedimentary rock which makes for a good building material. It is also used as a flux in the production of {{METAL.STEEL.NOUN}}.,,,,,,,,,,,,,
STONE.MARBLE.ADJECTIVE,,Marble,en marbre,De mármol,Marmor,di marmo,de mármore,De mármore,(мрамор),Marmurowy,Marmeren,Marmor-,Marmor,Márvány,Marmorinen
STONE.MARBLE.NOUN,,Marble,Marbre,Mármol,Marmor,Marmo,de mármore,Mármore,Мрамор,Marmur,Marmer,Marmor,Marmor,Márvány,Marmori
STONE.MARBLE.TOOLTIP,,A metamorphic rock which is used as a high-quality material for sculpture and masonry due to its brilliant appearance.,,,,,,,,,,,,,
STONE.SANDSTONE.ADJECTIVE,,Sandstone,en grès,De arenisca,Sandstein,di arenaria,de arenito,De arenito,(песчаник),Piaskowcowy,Zandstenen,Sandstens-,Sandstein,Homokkő,Hiekkakivinen
STONE.SANDSTONE.NOUN,,Sandstone,Grès,Arenisca,Sandstein,Arenaria,de arenito,Arenito,Песчаник,Piaskowiec,Zandsteen,Sandsten,Sandstein,Homokkő,Hiekkakivi
STONE.SANDSTONE.TOOLTIP,,A sedimentary rock composed of sand-like fragments. ,,,,,,,,,,,,,
STONE.SHALE.ADJECTIVE,,Shale,en schiste,De equisto,Tonstein,di scisto,de xisto,De xisto,(глинистый сланец),Ilasty,Schalie,Lerskiffer-,Leirskifer,Agyagpala,Liuskakivinen
STONE.SHALE.NOUN,,Shale,Schiste,Equisto,Tonstein,Scisto,de xisto,Xisto,Глинистый сланец,Iłołupek,Schalie,Lerskiffer,Leirskifer,Agyagpala,Liuskakivi
STONE.SHALE.TOOLTIP,,A fine-grained sedimentary rock composed of pressurized mud. It can be easily broken into thin layers.,,,,,,,,,,,,,
STONE.SLATE.ADJECTIVE,,Slate,en ardoise,De pizarra,Schiefer,di ardesia,de ardósia,De ardósia,(аспидный сланец),Łupkowy,Leistenen,Skiffer-,Skifer,Pala,Savikivinen
STONE.SLATE.NOUN,,Slate,Ardoise,Pizarra,Schiefer,Ardesia,de ardósia,Ardósia,Аспидный сланец,Łupek,Leisteen,Skiffer,Skifer,Pala,Savikivi
STONE.SLATE.TOOLTIP,,A metamorphic rock that is usually formed out of {{STONE.SHALE.NOUN}}. It is often made into tiles for roofing or writing.,,,,,,,,,,,,,
STONE.FRONITE.ADJECTIVE,,Frónite,,,,,,,,,,,,,
STONE.FRONITE.NOUN,,Frónite,,,,,,,,,,,,,
STONE.FRONITE.TOOLTIP,,A blue-hued rock mostly found on an icy island to the north. It has a high iron content.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOOL.AXE.NOUN,,Axe,Hâche,Hacha,Axt,Ascia,Machado,Machado,Топор,Siekiera,Bijl,Yxa,Øks,Balta,Kirves
TOOL.AXE.TOOLTIP,,Used to chop down trees. The primary tool of a {{PROFESSION.WOODCUTTER}}.,,,,,,,,,,,,,
TOOL.CHISEL.NOUN,,Chisel,Burin,Cincel,Meißel,Scalpello ,Cinzel,Formão,Резец,Dłuto,Beitel,Mejsel,Meisel,Véső,Taltta
TOOL.CHISEL.TOOLTIP,,Used to sculpt rock into shape. One of the tools used by a {{PROFESSION.STONEMASON}}.,,,,,,,,,,,,,
TOOL.FISHING.ROD.NOUN,,Fishing rod,Canne à pêche,Caña de pescar,Angelrute,Canna da pesca,Vara de pescar,Cana de pesca,Удочка,Wędka,Hengel,Fiskespö,Fiskestang,Horgászbot,Onki
TOOL.FISHING.ROD.TOOLTIP,,Used to catch fish from a body of water. The primary tool of a {{PROFESSION.FISHER}}.,,,,,,,,,,,,,
TOOL.KITCHEN.KNIFE.NOUN,,Kitchen knife,Couteau de cuisine,Cuchillo de cocina,Küchenmesser,Coltello da cucina,Faca de cozinha,Faca de cozinha,Кухонный нож,Nóż kuchenny,Keukenmes,Kökskniv,Kjøkkenkniv,Konyhakés,Keittiöveitsi
TOOL.KITCHEN.KNIFE.TOOLTIP,,"Used to prepare food, particularly meat.",,,,,,,,,,,,,
TOOL.LARGE.HAMMER.NOUN,,Large hammer,Gros marteau,Martillo grande,Vorschlaghammer,Martello grande,Martelo grande,Martelo grande,Молот,Duży młot,Grote hamer,Stor hammare,Stor hammer,Pöröly,Leka
TOOL.LARGE.HAMMER.TOOLTIP,,Used to bash large items of stone and metal into shape. The primary tool of a {{PROFESSION.BLACKSMITH}}.,,,,,,,,,,,,,
TOOL.PICKAXE.NOUN,,Pickaxe,Pioche,Pico,Spitzhacke,Piccone,Picareta,Picareta,Кирка,Kilof,Houweel,Hacka,Hakke,Csákány,Hakku
TOOL.PICKAXE.TOOLTIP,,Used to break stone into smaller pieces. The primary tool of a {{PROFESSION.MiNER}}.,,,,,,,,,,,,,
TOOL.PLANE.NOUN,A carpenter's plane,Plane,Rabot,Garlopa,Hobel,Pialla,Plaina,Plaina,Рубанок,Hebel,Schaaf,Hyvel,Høvel,Gyalu,Höylä
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,,,,,,,,,,,,,
TOOL.ROLLING.PIN.NOUN,,Rolling pin,Rouleau à pâtisserie,Rodillo,Nudelholz,Mattarello,Rolo de massa,Rolo da massa,Скалка,Wałek do ciasta,Deegroller,Brödkavel,Kjevle,Nyújtófa,Kaulin
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,,,,,,,,,,,,,
TOOL.SAW.NOUN,A carpenter's saw,Saw,Scie,Sierra,Säge,Seghetto,Serrote,Serrote,Пила,Piła,Zaag,Såg,Sag,Fűrész,Saha
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,,,,,,,,,,,,,
TOOL.SMALL.HAMMER.NOUN,,Hammer,Marteau,Martillo,Hammer,Martello,Martelo,Martelo,Молоток,Młot,Hamer,Hammare,Hammer,Kalapács,Vasara
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,,,,,,,,,,,,,
TOOL.TONGS.NOUN,A blacksmith's tongs,Tongs,Pinces,Tenazas,Zange,Tenaglie,Tenazes,Tenazes,Клещи,Cęgi,Tang,Täng,Tang,Fogó,Pihdit
TOOL.TONGS.TOOLTIP,,Used to hold extremely hot metal items. Used in the process of smelting metal ore.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TUTORIAL.PROGRESS_DESCRIPTION.TEXT,Used to show a progress indicator in the form: 2 of 10 stone blocks,{{currentQuantity}} of {{requiredQuantity}} {{targetDescription}},,,,,,,,,,,,,
TUTORIAL.PROGRESS_DESCRIPTION.TILES,Used to show a progress indicator for a certain number of tiles e.g. 2 of 10 farm plot tiles,{{roomName}} tiles,,,,,,,,,,,,,
TUTORIAL.PROGRESS_DESCRIPTION.FARM_PLOT_SELECTIONS,Used to show a progress indicator for how many farm plots have a crop selected e.g. 2 of 10 farm plots with a crop assigned,{{ROOMS.FARM.PLURAL}} with a crop assigned,,,,,,,,,,,,,
TUTORIAL.PROGRESS_DESCRIPTION.PROFESSIONS_ASSIGNED,Used to show a progress indicator for how many of a certain profession have been assigned e.g. 2 of 10 farmers assigned,{{professionPlural}} assigned,,,,,,,,,,,,,
TUTORIAL.CAMERA.A,,"You can use the W, A, S and D keys or the arrow keys to pan the camera around. Moving the cursor to the edge of the screen also pans the camera, but this can be disabled in the options menu.",,,,,,,,,,,,,
TUTORIAL.CAMERA.B,,Scrolling the mouse wheel or pressing the Q and E keys zooms the camera in or out.,,,,,,,,,,,,,
TUTORIAL.CAMERA.C,,"In the lower-right section of the screen is the minimap, and you can click on this to jump the camera to that point. Click on the “Minimap” label to show or hide the minimap.",,,,,,,,,,,,,
TUTORIAL.CAMERA.D,,Try out these camera controls and then click “Next” to proceed.,,,,,,,,,,,,,
TUTORIAL.TIME.A,,"The upper-right section of the screen shows the current date and time, and has controls for the game speed.",,,,,,,,,,,,,
TUTORIAL.TIME.B,,You can press the spacebar to pause or unpause the game.,,,,,,,,,,,,,
TUTORIAL.TIME.C,,"The 1 key sets the game to run at normal speed, while the 2, 3 and 4 keys make the game run at an increasingly faster pace. The game will automatically jump to speed 4 while all your settlers are asleep.",,,,,,,,,,,,,
TUTORIAL.TIME.D,,You can also click the speed icons to change the speed or pause the game.,,,,,,,,,,,,,
TUTORIAL.SAVING.A,,"Your progress is saved automatically at midnight, and also whenever you exit the game. You can also quicksave by pressing the F5 key.",,,,,,,,,,,,,
TUTORIAL.1.A,,"Your settlers have three basic needs to fulfil: food, drink and somewhere to sleep. Although they will complain about it for now, they can drink from the nearby river and sleep on the ground. What they can’t do is magic up some food from nowhere (at least, not without a mage around!) so we will focus on food to begin with.",,,,,,,,,,,,,
TUTORIAL.1.B,,"The first thing you should do each spring is ensure that enough crops have been planted for the harvest in autumn. Farming is a reliable and sustainable food source, but you need to make sure you have enough crops to feed your population between each annual harvest.",,,,,,,,,,,,,
TUTORIAL.1.C,,"A good rule of thumb to follow is to ensure you have 10 tiles of crops being sown for each settler in your population. Currently there are 7 settlers milling around, so go ahead and click “{{GUI.ZONES_LABEL}}” > “{{ROOMS.FARM}}”, and designate / drag out several farm plots on a grassy area.",,,,,,,,,,,,,
TUTORIAL.2.A,,"With nothing else to do, your settlers will start preparing these {{ROOMS.FARM.PLURAL}} by tilling the earth to be ready for seeds to be sown. This doesn’t require any special tools or knowledge so everyone should get involved.",,,,,,,,,,,,,
TUTORIAL.2.B,,"This prepares the plot to be sown, but you need to select which crop to grow on each farm plot before a farmer will come and plant the relevant seeds. Your settlers have brought with them a selection of different seeds. You can click “Resources” in the upper-right to get a breakdown of all the items in your settlement.",,,,,,,,,,,,,
TUTORIAL.2.C,,"For the seeds to actually be available to your farmers, they need to be in a stockpile compared to being held in a dwarf’s inventory like they are currently. Click {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GROUP.SEEDS}} (you can right-click to go back up to a previous menu) and designate an area to be used for seeds to be stored.",,,,,,,,,,,,,
TUTORIAL.2.D,,Your settlers have also brought a bunch of tools with them what will need moving around. From {{ROOMS.STOCKPILES}} also choose {{STOCKPILE.GROUP.TOOLS}} and designate another area to be used to store tools.,,,,,,,,,,,,,
TUTORIAL.3.A,,"After some time your settlers should put items they are not using into stockpiles, like the seeds that are to be sown.",,,,,,,,,,,,,
TUTORIAL.3.B,,"Left-click on each of the {{ROOMS.FARM.PLURAL}} and select a crop to be planted there. Don’t select {{VEGETABLE.BARLEY}} or {{VEGETABLE.HOPS}} for now, as these crops are used in the production of beer, not food.",,,,,,,,,,,,,
TUTORIAL.4.A,,Your {{PROFESSION.FARMER.PLURAL}} will now get to work sowing the seeds you have selected to these {{ROOMS.FARM.PLURAL}}. Sowing seeds does not require any special tools but you might want to assign more settlers as {{PROFESSION.FARMER.PLURAL}}. Left-click on a settler who is wandering around aimlessly.,,,,,,,,,,,,,
TUTORIAL.4.B,,"Clicking on a settler lets you see their name, professions, inventory, needs and happiness. Click on the blank square button next to their other professions to set a 3rd and final profession as a {{PROFESSION.FARMER.NOUN}}.",,,,,,,,,,,,,
TUTORIAL.4.C,,"Note that some jobs require the settler to have a specific tool in their inventory, and if none are available in the settlement they won’t work on the jobs that require it. For example, you can assign more settlers as a {{PROFESSION.WOODCUTTER}}, but they can’t chop down trees without an available {{TOOL.AXE.NOUN}}.",,,,,,,,,,,,,
TUTORIAL.5.A,,"Your crops will now grow and eventually be harvested by your {{PROFESSION.FARMER.PLURAL}} in the {{SEASON.AUTUMN}}. Some crops can be planted again later in the year and survive through the {{SEASON.WINTER}}, but some do not. To get the most out of your crops, it is best to produce soup from the vegetables harvested, or bread from grain.",,,,,,,,,,,,,
TUTORIAL.5.B,,"Let’s get a {{ROOMS.KITCHEN}} set up to produce soup once your crops are ready. Go to the top level menu then {{GUI.ZONES_LABEL}} > {{ROOMS.KITCHEN}} and drag out a {{ROOMS.KITCHEN}} area. For now you can build this outside, but you will eventually want to move the majority of your work areas inside for protection from the elements.",,,,,,,,,,,,,
TUTORIAL.5.C,,"Unlike farm plots, kitchens (and most other rooms) need furniture to function. Click “Furniture” when you have placed a kitchen zone and you’ll be presented with the furniture that can be added. To produce soup, you need to build a {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} and {{FURNITURE.CAULDRON}} in the same kitchen zone. Also, designate a {{STOCKPILE.GROUP.FOOD}} {{ROOMS.STOCKPILE}} to store any harvested crops.",,,,,,,,,,,,,
TUTORIAL.6.A,,"When your crops have been harvested, cooks will bring vegetables to the {{FURNITURE.KITCHEN_WORKTOP}} before adding them to the {{FURNITURE.CAULDRON}} with water and producing soup! Making soup and baking bread means your food supplies will go much further - a single vegetable will feed a dwarf for a single meal, but 3 vegetables cooked into soup will provide 12 meals!",,,,,,,,,,,,,
TUTORIAL.6.B,,"Eventually this kitchen will produce a cauldron full of steaming hot soup, but the cooks don’t like other dwarves getting in the way in their kitchen, so instead you need to have the soup brought to a feasting hall for the whole settlement to enjoy. Designate a feasting hall by clicking on {{GUI.ZONES_LABEL}} > {{ROOMS.FEASTING_HALL}}, then add a {{FURNITURE.CAULDRON}} to it. Note that a feasting hall cauldron won’t be placed until a cauldron containing thick, delicious soup is available.",,,,,,,,,,,,,
TUTORIAL.7.A,,Over time you will want to expand your food production but this will keep our small settlement nourished for the upcoming winter - your settlers have brought rations to sustain them while the first crops grow.,,,,,,,,,,,,,
TUTORIAL.7.B,,"Most items and furniture are produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} or {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}. It’s important to maintain a large supply of these. {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} are produced in a {{ROOMS.SAWMILL}}, and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}} are crafted by a {{PROFESSION.STONEMASON}} in a {{ROOMS.MASONRY_WORKSHOP}}. Place one of each of these zones, and build a {{FURNITURE.WOODCUTTERS_BENCH}} and {{FURNITURE.STONEMASON_WORKBENCH}} in them.",,,,,,,,,,,,,
TUTORIAL.8.A,,"Now you are ready to produce {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}, but they require other resources to craft them - {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} and {{RESOURCE.STONE.UNREFINED.PLURAL}}. Fortunately these can usually be harvested from the game world quite easily.",,,,,,,,,,,,,
TUTORIAL.8.B,,Select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}} and click-and-drag over trees to let your woodcutters know to cut them down. Similarly you can select select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}} and click-and-drag an area of the mountain to designate to be mined. Select enough of both to build your stockpiles back up to 40 of each.,,,,,,,,,,,,,
TUTORIAL.8.C,,Be careful with mining! A mined-out area of 7 by 7 tiles without a {{FURNITURE.PILLAR}} built within that area will collapse! ,,,,,,,,,,,,,
TUTORIAL.FINAL.A,,"This covers the basics of playing King under the Mountain. For your next challenge, aim to set up a functioning {{ROOMS.METALWORKS}} with a {{FURNITURE.FORGE}} provided with fuel and refined metal ore. Refined metal ores are produced at the {{FURNITURE.ORE_CRUSHING_STATION}}, and fuel can be crushed from coal or produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} with a {{FURNITURE.CHARCOAL_CLAMP}} in an {{ROOMS.EARTHWORKS}}. Good luck!",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TREE.DESCRIPTION,E.g. “Oak tree”,{{materialType.noun}} tree,{{materialType.noun}},{{materialType.noun}},{{materialType}},Pianta {{materialType.noun}},árvore de {{materialType.noun}},Árvore de {{materialType.noun}},{{materialType.noun}},Drzewo {{materialType.noun}},,,,,
MUSHROOM.DESCRIPTION,E.g. “Toadstool mushroom”,{{materialType.noun}},,,,,,,,,,,,,
,,,,,,,,,,,{{materialType.noun}} boom,,Tre – {{materialType.noun}},{{materialType.noun}} fa,{{materialType.noun}}
VEGETABLE.BARLEY,,Barley,Orge,de cebada,Gerste,Orzo,Cevada,Cevada,Ячмень,Jęczmień,,,,,
VEGETABLE.BARLEY.PLURAL,,Barley,Orge,de cebada,Gerste,Orzo,Cevada,Cevada,Ячмень,Jęczmień,,,,,
VEGETABLE.BARLEY.TOOLTIP,,"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",,,,,,,,,,,,,
VEGETABLE.CARROT,,Carrot,Carotte,de zanahoria,Karotte,Carota,Cenoura,Cenoura,Морковина,Marchewka,,,,,
VEGETABLE.CARROT.PLURAL,,Carrots,Carottes,Zanahorias,Karotten,Carote,Cenouras,Cenouras,Морковины,Marchewki,,,,,
VEGETABLE.CARROT.TOOLTIP,,"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",,,,,,,,,,,,,
VEGETABLE.CORN,,Sweetcorn,Maïs doux,Maíz,Mais,Mais,Milho verde,Milho doce,Сахарная кукуруза,Słodka kukurydza,,,,,
VEGETABLE.CORN.PLURAL,,Sweetcorn,Maïs doux,Maíz,Mais,Mais,Milho verde,Milho doce,Сахарная кукуруза,Słodka kukurydza,,,,,
VEGETABLE.CORN.TOOLTIP,,"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.",,,,,,,,,,,,,
VEGETABLE.HOPS,,Hops,Houblon,de lúpulo,Hopfen,Luppolo,Lúpulo,Lúpulo,Хмель,Chmiel,,,,,
VEGETABLE.HOPS.PLURAL,,Hops,Houblon,de lúpulo,Hopfen,Luppolo,Lúpulo,Lúpulo,Хмель,Chmiel,,,,,
VEGETABLE.HOPS.TOOLTIP,,A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,,,,,,,,,,,,,
VEGETABLE.POTATO,,Potato,Pomme de terre,de patata,Kartoffel,Patata,Batata,Batata,Картофелина,Ziemniak,,,,,
VEGETABLE.POTATO.PLURAL,,Potatoes,Pommes de terre,Patatas,Kartoffeln,Patate,Batatas,Batatas,Картофелины,Ziemniaki,,,,,
VEGETABLE.POTATO.TOOLTIP,,"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",,,,,,,,,,,,,
VEGETABLE.TOMATO,,Tomato,Tomate,de tomate,Tomate,Pomodoro,Tomate,Tomate,Помидор,Pomidor,,,,,
VEGETABLE.TOMATO.PLURAL,,Tomatoes,Tomates,Tomates,Tomaten,Pomodori,Tomates,Tomates,Помидоры,Pomidory,,,,,
VEGETABLE.TOMATO.TOOLTIP,,A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,,,,,,,,,,,,,
VEGETABLE.WHEAT,,Wheat,Blé,de trigo,Weizen,Grano,Trigo,Trigo,Пшеница,Pszenica,,,,,
VEGETABLE.WHEAT.PLURAL,,Wheat,Blé,de trigo,Weizen,Grano,Trigo,Trigo,Пшеница,Pszenica,,,,,
VEGETABLE.WHEAT.TOOLTIP,,"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.",,,,,,,,,,,,,
VEGETABLE.LOQUAT,,Loquat,,,,,,,,,,,,,
VEGETABLE.LOQUAT.PLURAL,,Loquats,,,,,,,,,,,,,
VEGETABLE.THIMBLEBERRY,,Thimbleberry,,,,,,,,,,,,,
VEGETABLE.THIMBLEBERRY.PLURAL,,Thimbleberries,,,,,,,,,,,,,
VEGETABLE.TAMARILLO,,Tamarillo,,,,,,,,,,,,,
VEGETABLE.TAMARILLO.PLURAL,,Tamarillos,,,,,,,,,,,,,
VEGETABLE.DRAGONFRUIT,,Dragonfruit,,,,,,,,,,,,,
VEGETABLE.DRAGONFRUIT.PLURAL,,Dragonfruits,,,,,,,,,,,,,
VEGETABLE.DEATH_CAP_MUSHROOM,,Death cap mushroom,,,,,,,,,,,,,
VEGETABLE.DEATH_CAP_MUSHROOM.PLURAL,,Death cap mushrooms,,,,,,,,,,,,,
VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP,,"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",,,,,,,,,,,,,
VEGETABLE.FIST_MUSHROOM,,Fist mushroom,,,,,,,,,,,,,
VEGETABLE.FIST_MUSHROOM.PLURAL,,Fist mushrooms,,,,,,,,,,,,,
VEGETABLE.FIST_MUSHROOM.TOOLTIP,,A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,,,,,,,,,,,,,
VEGETABLE.BERSERKER_MUSHROOM,,Berserker mushroom,,,,,,,,,,,,,
VEGETABLE.BERSERKER_MUSHROOM.PLURAL,,Berserker mushrooms,,,,,,,,,,,,,
VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP,,A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,,,,,,,,,,,,,
VEGETABLE.ROCIOMYCOTA_MUSHROOM,,Rociomycota mushroom,,,,,,,,,,,,,
VEGETABLE.ROCIOMYCOTA_MUSHROOM.PLURAL,,Rociomycota mushrooms,,,,,,,,,,,,,
VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP,,A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,,,,,,,,,,,,,
VEGETABLE.MILTONIA_MUSHROOM,,Miltonia mushroom,,,,,,,,,,,,,
VEGETABLE.MILTONIA_MUSHROOM.PLURAL,,Miltonia mushrooms,,,,,,,,,,,,,
VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP,,"Once thought to exist only in the Hudds region, it is now found throughout the world.",,,,,,,,,,,,,
VEGETABLE.ELFSBANE_MUSHROOM,,Elfsbane mushroom,,,,,,,,,,,,,
VEGETABLE.ELFSBANE_MUSHROOM.PLURAL,,Elfsbane mushrooms,,,,,,,,,,,,,
VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP,,"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.",,,,,,,,,,,,,
VEGETABLE.SUNGLOW_MUSHROOM,,Sunglow mushroom,,,,,,,,,,,,,
