KEY,NOTES,ENGLISH,SIMPLIFIED CHINESE
VEGETABLE.DEATH_CAP_MUSHROOM,,Death cap mushroom,死亡帽蘑菇
VEGETABLE.DEATH_CAP_MUSHROOM.PLURAL,,Death cap mushrooms,死亡帽蘑菇
VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP,,"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",菌盖宽扁的剧毒蘑菇。即使食用了少量，也会危及生命。
VEGETABLE.DRAGONFRUIT,,Dragonfruit,火龙果
VEGETABLE.DRAGONFRUIT.PLURAL,,Dragonfruits,火龙果
VEGETABLE.ELFSBANE_MUSHROOM,,Elfsbane mushroom,精灵之祸
VEGETABLE.ELFSBANE_MUSHROOM.PLURAL,,Elfsbane mushrooms,精灵之祸
VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP,,"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.",对绝大多数类人生物而言，这种蘑菇没有味道。但对精灵来说，它的味道恶心至极，食用后常常会导致剧烈呕吐，甚至极端情况下会引发心脏病。
VEGETABLE.FIST_MUSHROOM,,Fist mushroom,拳菇
VEGETABLE.FIST_MUSHROOM.PLURAL,,Fist mushrooms,拳菇
VEGETABLE.FIST_MUSHROOM.TOOLTIP,,A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,蘑菇呈蓝黑色，入口为金属味。黑暗时代的吟游诗人为它取了这个名字。
VEGETABLE.GLOW_MUSHROOM,,Glow mushroom,微光菇
VEGETABLE.GLOW_MUSHROOM.PLURAL,,Glow mushrooms,微光菇
VEGETABLE.GLOW_MUSHROOM.TOOLTIP,,A magic-infused mushroom that gives off light and changes colour with the seasons.,蕴含魔力的蘑菇，它散发的光芒会随着季节的变化而变色。
VEGETABLE.HEMP,,Hemp,大麻
VEGETABLE.HEMP.PLURAL,,Hemp,大麻
VEGETABLE.HEMP.TOOLTIP,,This is processed at the {{ROOMS.TEXTILE_WORKSHOP}} to a useful material.,在{{ROOMS.TEXTILE_WORKSHOP}}加工后可获得有用的材料。
VEGETABLE.HEMP_FIBRE,,Hemp fibre,大麻纤维
VEGETABLE.HEMP_FIBRE.PLURAL,,Hemp fibre,大麻纤维
VEGETABLE.HOPS,,Hops,啤酒花
VEGETABLE.HOPS.PLURAL,,Hops,啤酒花
VEGETABLE.HOPS.TOOLTIP,,A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,能为啤酒增添风味的花。必须在{{SEASON.SPRING}}播种。
VEGETABLE.LOQUAT,,Loquat,枇杷
VEGETABLE.LOQUAT.PLURAL,,Loquats,枇杷
VEGETABLE.MILTONIA_MUSHROOM,,Miltonia mushroom,堇蓝菇
VEGETABLE.MILTONIA_MUSHROOM.PLURAL,,Miltonia mushrooms,堇蓝菇
VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP,,"Once thought to exist only in the Hudds region, it is now found throughout the world.",最初人们以为这种植物只存在于哈德斯地区，但如今世界各地都能见到。
VEGETABLE.POTATO,,Potato,土豆
VEGETABLE.POTATO.PLURAL,,Potatoes,土豆
VEGETABLE.POTATO.TOOLTIP,,"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",富含淀粉的根茎类蔬菜，由于在{{SEASON.WINTER}}也能生存，所以对大多数殖民者来说都是不错的选择。{{SEASON.SPRING}}，{{SEASON.SUMMER}}和{{SEASON.AUTUMN}}都可以种植。
VEGETABLE.PURPLE_HELMET_MUSHROOM,,Purple helmet mushroom,紫盔蘑菇
VEGETABLE.PURPLE_HELMET_MUSHROOM.PLURAL,,Purple helmet mushrooms,紫盔蘑菇
VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP,,"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.",大帽子、蓬松头巾、圆头盔；这种传说中的蘑菇有许多名字。传说很久以前，许多矮人部落都靠种植这种蘑菇维持生活。
VEGETABLE.ROCIOMYCOTA_MUSHROOM,,Rociomycota mushroom,露菇
VEGETABLE.ROCIOMYCOTA_MUSHROOM.PLURAL,,Rociomycota mushrooms,露菇
VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP,,A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,黑白相间且有斑点的蘑菇。据说食用后能影响外表。
VEGETABLE.SUNGLOW_MUSHROOM,,Sunglow mushroom,霞菇
VEGETABLE.SUNGLOW_MUSHROOM.PLURAL,,Sunglow mushrooms,霞菇
VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP,,A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,亮黄色的蘑菇，散发的光宛如阳光。采收后便不会发光。
VEGETABLE.SYRUP_POWDER_MUSHROOM,,Syrup powder mushroom,糖浆粉菇
VEGETABLE.SYRUP_POWDER_MUSHROOM.PLURAL,,Syrup powder mushrooms,糖浆粉菇
VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP,,"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.",橙色或黄色的圆形蘑菇，底部呈白色。据说很久以前的魔法师会使用这种蘑菇，但具体目的不得而知。
VEGETABLE.TAMARILLO,,Tamarillo,树番茄
VEGETABLE.TAMARILLO.PLURAL,,Tamarillos,树番茄
VEGETABLE.THIMBLEBERRY,,Thimbleberry,茅莓
VEGETABLE.THIMBLEBERRY.PLURAL,,Thimbleberries,茅莓
VEGETABLE.TOMATO,,Tomato,番茄
VEGETABLE.TOMATO.PLURAL,,Tomatoes,番茄
VEGETABLE.TOMATO.TOOLTIP,,A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,草本植物，浆果呈红色，多为扁球状或近球状，用作蔬菜食用。仅能在{{SEASON.SPRING}}播种。
VEGETABLE.WHEAT,,Wheat,小麦
VEGETABLE.WHEAT.PLURAL,,Wheat,小麦
VEGETABLE.WHEAT.TOOLTIP,,"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.",通常用来制作面包的谷物。能在{{SEASON.WINTER}}生存，但生长周期较长，所以通常在{{SEASON.SPRING}}或 {{SEASON.AUTUMN}}播种。

VITRIOL.GREEN_VITRIOL.ADJECTIVE,,Green,绿矾
VITRIOL.GREEN_VITRIOL.NOUN,,Green,绿矾
VITRIOL.GREEN_VITRIOL.TOOLTIP,,"Also known as iron sulfate, this salt has several uses, including as a soil additive to improve crop farming. (Usages of vitriol are not yet implemented in King under the Mountain)",又称硫酸亚铁，用途较广泛，比如改善农作物种植的土壤添加剂。（硫酸盐的用法尚未在游戏内实装）

WALL.DESCRIPTION,"E.g. “Granite rock wall”, “Granite smooth stone wall”",{{materialType.adjective}} {{wallType.noun}},{{materialType.adjective}} {{wallType.noun}}
WALL.GEMS.NOUN,,Gems,宝石
WALL.ORE.NOUN,,Ore,矿石
WALL.ROUGH_STONE.NOUN,,Rock wall,石墙
WALL.STONE_BLOCK.NOUN,,Smooth stone wall,光滑的石头墙
WALL.WOODEN.NOUN,,Wood wall,木墙

WEAPON.BONE.ARROWS.NOUN,,Arrow,箭矢
WEAPON.BONE.ARROWS.PLURAL,,Arrows,箭矢
WEAPON.BOW,,Bow,弓
WEAPON.METAL.ARROWS.NOUN,,Arrow,箭矢
WEAPON.METAL.ARROWS.PLURAL,,Arrows,箭矢
WEAPON.UNARMED,,Unarmed,赤手空拳

WEATHER.TYPE.CLOUDY,,Cloudy & grey,多云
WEATHER.TYPE.COLD_WINDS,,Cold winds,寒风
WEATHER.TYPE.PERFECT,,Perfect weather,完美天气
WEATHER.TYPE.RAIN,,Pouring rain,瓢泼大雨
WEATHER.TYPE.SNOW,,Snow flurries,阵雪
WEATHER.TYPE.THUNDERSTORM,,Thunderstorm,雷雨

WOOD.ASPEN.ADJECTIVE,,Aspen,山杨
WOOD.ASPEN.NOUN,,Aspen,山杨
WOOD.BAOBAB.ADJECTIVE,,Baobab,猴面包树
WOOD.BAOBAB.NOUN,,Baobab,猴面包树
WOOD.BARKSHROOM.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,树皮菇
WOOD.BARKSHROOM.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,树皮菇
WOOD.BEECH.ADJECTIVE,,Beech,山毛榉
WOOD.BEECH.NOUN,,Beech,山毛榉
WOOD.BIRCH.ADJECTIVE,,Birch,桦木
WOOD.BIRCH.NOUN,,Birch,桦木
WOOD.EBONY.ADJECTIVE,,Ebony,乌木
WOOD.EBONY.NOUN,,Ebony,乌木
WOOD.FIR.ADJECTIVE,,Fir,冷杉
WOOD.FIR.NOUN,,Fir,冷杉
WOOD.FUNGIWOOD.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,菌木
WOOD.FUNGIWOOD.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,菌木
WOOD.IRONWOOD.ADJECTIVE,,Ironwood,铁木
WOOD.IRONWOOD.NOUN,,Ironwood,铁木
WOOD.MAPLE.ADJECTIVE,,Maple,枫树
WOOD.MAPLE.NOUN,,Maple,枫树
WOOD.NUYTSIA.ADJECTIVE,,Nuytsia,金焰檀
WOOD.NUYTSIA.NOUN,,Nuytsia,金焰檀
WOOD.OAK.ADJECTIVE,,Oaken,橡木
WOOD.OAK.NOUN,,Oak,橡树
WOOD.PECAN.ADJECTIVE,,Pecan,碧根果
WOOD.PECAN.NOUN,,Pecan,碧根果
WOOD.PINE.ADJECTIVE,,Pine,松树
WOOD.PINE.NOUN,,Pine,松树
WOOD.RED_CEDAR.ADJECTIVE,,Red cedar,红杉
WOOD.RED_CEDAR.NOUN,,Red cedar,红杉
WOOD.RED_EMPEROR.ADJECTIVE,,Red emperor,红帝王
WOOD.RED_EMPEROR.NOUN,,Red emperor,红帝王
WOOD.ROSEWOOD.ADJECTIVE,,Rosewood,蔷薇木
WOOD.ROSEWOOD.NOUN,,Rosewood,蔷薇木
WOOD.SPRUCE.ADJECTIVE,,Spruce,云杉
WOOD.SPRUCE.NOUN,,Spruce,云杉
WOOD.STAR_PINE.ADJECTIVE,,Star pine,星松
WOOD.STAR_PINE.NOUN,,Star pine,星松
WOOD.SYCAMORE.ADJECTIVE,,Sycamore,美国梧桐
WOOD.SYCAMORE.NOUN,,Sycamore,美国梧桐
